id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
2296,1779918098362,2026-05-28T05:41:38.362880,5,41,4,0,Night,11527607,2034283,13561890,12.93,66.98,5G,0,40,device-uuid-tester-105,-105,0,Tester Simulator Phone
5079,1779926738362,2026-05-28T08:05:38.362880,8,5,4,0,Morning,43580865,7690740,51271605,48.9,115.88,LTE,1,36,device-uuid-tester-105,-96,0,Tester Simulator Phone
2220,1779935378362,2026-05-28T10:29:38.362880,10,29,4,0,Morning,41617053,7344185,48961239,46.69,162.57,5G,1,32,device-uuid-tester-105,-69,0,Tester Simulator Phone
7266,1779944018362,2026-05-28T12:53:38.362880,12,53,4,0,Afternoon,37043203,6537035,43580239,41.56,204.14,LTE,0,28,device-uuid-tester-105,-81,0,Tester Simulator Phone
9830,1779952658362,2026-05-28T15:17:38.362880,15,17,4,0,Afternoon,22034144,3888378,25922523,24.72,228.86,WIFI,0,24,device-uuid-tester-105,-90,1,Tester Simulator Phone
7117,1779961298362,2026-05-28T17:41:38.362880,17,41,4,0,Afternoon,53454296,9433111,62887407,59.97,288.83,5G,0,100,device-uuid-tester-105,-90,0,Tester Simulator Phone
1705,1779969938362,2026-05-28T20:05:38.362880,20,5,4,0,Evening,30998292,5470286,36468579,34.78,323.61,LTE,1,96,device-uuid-tester-105,-100,0,Tester Simulator Phone
4611,1779978578362,2026-05-28T22:29:38.362880,22,29,4,0,Evening,15055601,2656870,17712472,16.89,340.5,5G,1,92,device-uuid-tester-105,-73,0,Tester Simulator Phone
7703,1779987218362,2026-05-29T00:53:38.362880,0,53,5,0,Night,45808165,8083793,53891959,51.4,51.4,5G,0,88,device-uuid-tester-105,-81,0,Tester Simulator Phone
1296,1779995858362,2026-05-29T03:17:38.362880,3,17,5,0,Night,21530146,3799437,25329584,24.16,75.55,WIFI,0,84,device-uuid-tester-105,-105,0,Tester Simulator Phone
5157,1780004498362,2026-05-29T05:41:38.362880,5,41,5,0,Night,50385799,8891611,59277411,56.53,132.08,5G,0,80,device-uuid-tester-105,-75,0,Tester Simulator Phone
5404,1780013138362,2026-05-29T08:05:38.362880,8,5,5,0,Morning,17181450,3032020,20213471,19.28,151.36,WIFI,1,76,device-uuid-tester-105,-96,0,Tester Simulator Phone
6479,1780021778362,2026-05-29T10:29:38.362880,10,29,5,0,Morning,37050575,6538336,43588912,41.57,192.93,LTE,0,72,device-uuid-tester-105,-97,1,Tester Simulator Phone
9339,1780030418362,2026-05-29T12:53:38.362880,12,53,5,0,Afternoon,3789587,668750,4458338,4.25,197.18,LTE,0,68,device-uuid-tester-105,-103,0,Tester Simulator Phone
6744,1780039058362,2026-05-29T15:17:38.362880,15,17,5,0,Afternoon,70494264,12440164,82934428,79.09,276.27,LTE,0,64,device-uuid-tester-105,-100,0,Tester Simulator Phone
