id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
8026,1779909442880,2026-05-28T03:17:22.880020,3,17,4,0,Night,14147881,2496684,16644566,15.87,68.96,WIFI,0,44,device-uuid-tester-101,-105,0,Tester Simulator Phone
2178,1779918082880,2026-05-28T05:41:22.880020,5,41,4,0,Night,68074850,12013208,80088059,76.38,145.33,LTE,1,40,device-uuid-tester-101,-79,0,Tester Simulator Phone
9924,1779926722880,2026-05-28T08:05:22.880020,8,5,4,0,Morning,62895084,11099132,73994216,70.57,215.9,LTE,1,36,device-uuid-tester-101,-82,0,Tester Simulator Phone
3861,1779935362880,2026-05-28T10:29:22.880020,10,29,4,0,Morning,25277059,4460657,29737716,28.36,244.26,LTE,0,32,device-uuid-tester-101,-84,1,Tester Simulator Phone
6089,1779944002880,2026-05-28T12:53:22.880020,12,53,4,0,Afternoon,28334400,5000188,33334588,31.79,276.05,WIFI,1,28,device-uuid-tester-101,-96,0,Tester Simulator Phone
3798,1779952642880,2026-05-28T15:17:22.880020,15,17,4,0,Afternoon,67328483,11881497,79209980,75.54,351.59,LTE,0,24,device-uuid-tester-101,-87,0,Tester Simulator Phone
2653,1779961282880,2026-05-28T17:41:22.880020,17,41,4,0,Afternoon,61939065,10930423,72869489,69.49,421.09,LTE,0,100,device-uuid-tester-101,-75,0,Tester Simulator Phone
3806,1779969922880,2026-05-28T20:05:22.880020,20,5,4,0,Evening,25427574,4487219,29914793,28.53,449.61,LTE,1,96,device-uuid-tester-101,-80,0,Tester Simulator Phone
2139,1779978562880,2026-05-28T22:29:22.880020,22,29,4,0,Evening,34744381,6131361,40875742,38.98,488.6,5G,1,92,device-uuid-tester-101,-88,1,Tester Simulator Phone
9955,1779987202880,2026-05-29T00:53:22.880020,0,53,5,0,Night,59609349,10519297,70128646,66.88,66.88,WIFI,0,88,device-uuid-tester-101,-97,0,Tester Simulator Phone
8017,1779995842880,2026-05-29T03:17:22.880020,3,17,5,0,Night,46947555,8284862,55232418,52.67,119.55,5G,0,84,device-uuid-tester-101,-73,1,Tester Simulator Phone
1642,1780004482880,2026-05-29T05:41:22.880020,5,41,5,0,Night,24178696,4266828,28445524,27.13,146.68,WIFI,0,80,device-uuid-tester-101,-105,0,Tester Simulator Phone
2524,1780013122880,2026-05-29T08:05:22.880020,8,5,5,0,Morning,57460161,10140028,67600190,64.47,211.15,5G,1,76,device-uuid-tester-101,-97,0,Tester Simulator Phone
6592,1780021762880,2026-05-29T10:29:22.880020,10,29,5,0,Morning,8641496,1524970,10166467,9.7,220.85,5G,1,72,device-uuid-tester-101,-89,0,Tester Simulator Phone
3011,1780030402880,2026-05-29T12:53:22.880020,12,53,5,0,Afternoon,22010800,3884258,25895059,24.7,245.54,WIFI,0,68,device-uuid-tester-101,-105,0,Tester Simulator Phone
4063,1780039042880,2026-05-29T15:17:22.880020,15,17,5,0,Afternoon,58996183,10411091,69407274,66.19,311.73,5G,0,64,device-uuid-tester-101,-70,0,Tester Simulator Phone
